Business Legal Name,Assumed Name(s),Street,City,Borough,Postcode,License Type,License Status,License Issue Date,License Expiration Date,Latitude,Longitude,Council District,Community Board,BIN,BBL,Census Tract (2020),Neighborhood Tabulation Area (NTA) (2020),Location
BOLIVIAN LLAMA PARTY LLC,BOLIVIAN LLAMA PARTY,44-14 48 AVENUE,WOODSIDE,Queens,11377,Sidewalk,Issued,12/19/2025 10:43:56 AM,12/19/2029 11:59:59 PM,40.739481503076,-73.921090639282,26,402,4446397,4022880032,18501,QN0202,POINT (-73.921090639282 40.739481503076)
RAGUBOY CORPORATION,SUPPER,156 EAST    2 STREET,NEW YORK,Manhattan,10009,Roadway,Issued,02/13/2026 03:43:10 PM,02/13/2030 11:59:59 PM,40.722767360588,-73.985179585669,2,103,1004985,1003980061,3002,MN0303,POINT (-73.985179585669 40.722767360588)
"LEAHLALA, LLC.",ABILENE,442 COURT STREET,BROOKLYN,Brooklyn,11231,Roadway,Issued,05/02/2025 02:20:56 PM,05/02/2029 11:59:59 PM,40.6789260592,-73.997562807106,39,306,3005293,3003660030,65,BK0601,POINT (-73.997562807106 40.6789260592)
TEA AND SYMPATHY INC.,TEA & SYMPATHY,108 GREENWICH AVENUE,NEW YORK,Manhattan,10011,Roadway,Issued,10/03/2025 01:44:14 PM,10/03/2029 11:59:59 PM,40.73834758566,-74.002154299955,3,102,1088420,1006170034,77,MN0203,POINT (-74.002154299955 40.73834758566)
ZOUK LTD,PALMA,28 CORNELIA STREET,NEW YORK,Manhattan,10014,Roadway,Issued,10/03/2025 01:36:49 PM,10/03/2029 11:59:59 PM,40.731411566573,-74.00213242586,3,102,1076924,1005890013,67,MN0203,POINT (-74.00213242586 40.731411566573)
SAMMYLIN COFFEE INC,SAMMY L COFFEE,83 3 AVENUE,NEW YORK,Manhattan,10003,Sidewalk,Issued,01/07/2026 11:39:14 AM,01/07/2030 11:59:59 PM,40.73180897535,-73.988248134302,2,103,1006826,1004670001,4002,MN0303,POINT (-73.988248134302 40.73180897535)
108 GIGS LLC,MARIAN'S,108 PATCHEN AVENUE,BROOKLYN,Brooklyn,11221,Sidewalk,Issued,11/21/2025 01:21:33 PM,11/21/2029 11:59:59 PM,40.688051240119,-73.927101326206,36,303,3045006,3016420039,385,BK0302,POINT (-73.927101326206 40.688051240119)
79 RESTAURANT CORP.,WHISKEY TAVERN,79 BAXTER STREET,NEW YORK,Manhattan,10013,Roadway,Issued,03/24/2025 04:23:19 PM,03/24/2029 11:59:59 PM,40.716482800206,-73.999953104394,1,103,1076900,1001990001,2902,MN0301,POINT (-73.999953104394 40.716482800206)
"SWEETGREEN NEW YORK, LLC",SWEETGREEN,162 NORTH    4 STREET,BROOKLYN,Brooklyn,11211,Roadway,Issued,02/20/2026 03:08:29 PM,02/20/2030 11:59:59 PM,40.715863403134,-73.959042479911,34,301,3062371,3023527501,553,BK0102,POINT (-73.959042479911 40.715863403134)
DAI HACHI SUSHI CORPORATION,DAI HACHI,46-18 VERNON BOULEVARD,LONG ISLAND CITY,Queens,11101,Roadway,Issued,10/10/2025 01:30:00 PM,10/10/2029 11:59:59 PM,40.746330689918,-73.952906460589,26,402,4000036,4000270001,702,QN0201,POINT (-73.952906460589 40.746330689918)
